95401|CA|USA
34243|FL|USA
93401|CA|USA
33302|FL|USA
61239|IL|USA
61701|IL|USA
85719|AZ|USA
53022|WI|USA
32405|FL|USA
02116|MA|USA
63005|MO|USA
33414|FL|USA
98444|WA|USA
76542|TX|USA
11787|NY|USA
92109|CA|USA
64113|MO|USA
77077|TX|USA
14428|NY|USA
24017|VA|USA
55445|MN|USA
48034|MI|USA
85023|AZ|USA
94550|CA|USA
87042|NM|USA
07712|NJ|USA
63303|MO|USA
80104|CO|USA
38676|MS|USA
32570|FL|USA
13208|NY|USA
85253|AZ|USA
89117|NV|USA
50310|IA|USA
72117|AR|USA
KW11 6UB||UK
33912|FL|USA
02904|RI|USA
48026|MI|USA
14224|NY|USA
75181|TX|USA
95129|CA|USA
39157|MS|USA
14201|NY|USA
16033|PA|USA
95073|CA|USA
94115|CA|USA
77043|TX|USA
35806|AL|USA
28056|NC|USA
07649|NJ|USA
70062|LA|USA
32065|FL|USA
30342|GA|USA
97045|OR|USA
93257|CA|USA
98685|WA|USA
81612|CO|USA
33055|FL|USA
23111|VA|USA
46556|IN|USA
72764|AR|USA
29801|SC|USA
55128|MN|USA
98903|WA|USA
60463|IL|USA
60202|IL|USA
328237|FL|USA
30062|GA|USA
37069|TN|USA
23430|VA|USA
19138|PA|USA
49004|MI|USA
43085|OH|USA
75126|TX|USA
78645|TX|USA
44708|OH|USA
66061|KS|USA
85296|AZ|USA
28078|NC|USA
60115|IL|USA
13790|NY|USA
37167|TN|USA
84097|UT|USA
94402|CA|USA
95519|CA|USA
85374|AZ|USA
60563|IL|USA
06071|CT|USA
14487|NY|USA
92337|CA|USA
90293|CA|USA
78412|TX|USA
53151|WI|USA
38117|TN|USA
02655|MA|USA
45069|OH|USA
95008|CA|USA
90744-1100|CA|USA
20016|DC|USA
90010|CA|USA
95128|CA|USA
55435|MN|USA
94010|CA|USA
33315|FL|USA
92663|CA|USA
94025|CA|USA
37922|TN|USA
83705|ID|USA
08618|NJ|USA
29607|SC|USA
32225|FL|USA
42420|KY|USA
20135|VA|USA
55311|MN|USA
50309|IA|USA
60007|IL|USA
19148|PA|USA
63102|MO|USA
60047|IL|USA
01581|MA|USA
54630|WI|USA
16366|PA|USA
27587|NC|USA
95380|CA|USA
44053|OH|USA
46060|IN|USA
92833|CA|USA
01532|MA|USA
11021|NY|USA
36507|AL|USA
97305|OR|USA
02828|RI|USA
97404|OR|USA
96744|HI|USA
06405|CT|USA
02370|MA|USA
21122|MD|USA
83854|ID|USA
32606|FL|USA
04074|ME|USA
78681|TX|USA
32571|FL|USA
11365|NY|USA
29070|SC|USA
97205|OR|USA
13165|NY|USA
33868|FL|USA
33444|FL|USA
33415|FL|USA
95843|CA|USA
76643|TX|USA
30189|GA|USA
16148|PA|USA
94546|CA|USA
34677|FL|USA
11514|NY|USA
98596|WA|USA
76527|TX|USA
94501|CA|USA
40513|KY|USA
34734|FL|USA
48708|MI|USA
35244|AL|USA
55379|MN|USA
49036|MI|USA
27215|NC|USA
37918|TN|USA
33134|FL|USA
331243|FL|USA
02367|MA|USA
